"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT11"
"USC00040162","41.51472","-120.36406","1617.6","2022-08-11",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-12",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-13",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-14",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-15",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-16",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-17",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-18",,,"0.07","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-19",,,"0.01","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-20",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-21",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-22",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-23",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-24",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-25",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-26",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-27",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-28",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-29",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-30",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-08-31",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-01",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-02",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-03",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-04",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-05",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-06",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-07",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-08",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-09",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-10",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-11",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-12",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-13",,,"0.02","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-14",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-15",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-16",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-17",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-18",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-19",,,"0.43","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-20",,,"0.83","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-21",,,"0.27","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-22",,,"0.31","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-23",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-24",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-25",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-26",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-27",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-28",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-29",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-09-30",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-01",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-02",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-03",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-04",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-05",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-06",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-07",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-08",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-09",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-10",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-11",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-12",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-13",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-14",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-15",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-16",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-17",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-18",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-19",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-20",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-21",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-22",,,"0.15","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-23",,,"0.02","0.1","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-24",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-25",,,"0.01","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-26",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-27",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-28",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-29",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-30",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-10-31",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-01",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-02",,,"0.72","7.0","6.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-03",,,"0.18","2.1","8.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-04",,,"0.02","0.0","5.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-05",,,"0.08","0.0","2.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-06",,,"0.19","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-07",,,"0.80","6.9","7.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-08",,,"0.03","0.3","6.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-09",,,"0.41","3.6","8.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-10",,,"0.14","1.2","8.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-11",,,"0.00","0.0","7.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-12",,,"0.16","4.4","10.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-13",,,"0.38","5.7","12.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-14",,,"0.00","0.0","11.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-15",,,"0.00","0.0","10.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-16",,,"0.00","0.0","9.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-17",,,"0.00","0.0","8.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-18",,,"0.00","0.0","7.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-19",,,"0.00","0.0","7.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-20",,,"0.00","0.0","7.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-21",,,"0.00","0.0","7.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-22",,,"0.00","0.0","7.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-23",,,"0.00","0.0","7.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-24",,,"0.00","0.0","6.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-25",,,"0.00","0.0","6.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-26",,,"0.05","0.3","5.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-27",,,"0.01","0.1","5.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-28",,,"0.00","0.0","5.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-29",,,"0.05","0.4","5.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-11-30",,,"0.00","0.0","5.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-01",,,"0.41","4.3","9.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-02",,,"0.46","4.4","12.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-03",,,"0.00","0.0","11.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-04",,,"0.51","1.0","9.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-05",,,"0.03","0.2","9.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-06",,,"0.02","0.2","9.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-07",,,"0.00","0.0","9.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-08",,,"0.00","0.0","9.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-09",,,"0.33","3.9","13.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-10",,,"0.08","1.2","12.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-11",,,"0.54","3.6","15.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-12",,,"0.28","2.7","17.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-13",,,"0.03","0.3","15.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-14",,,"0.00","0.0","15.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-15",,,"0.00","0.0","14.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-16",,,"0.00","0.0","14.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-17",,,"0.00","0.0","14.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-18",,,"0.00","0.0","13.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-19",,,"0.00","0.0","13.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-20",,,"0.00","0.0","13.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-21",,,"0.16","0.2","12.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-22",,,"0.01","0.0","10.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-23",,,"0.17","0.0","9.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-24",,,"0.00","0.0","8.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-25",,,"0.00","0.0","7.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-26",,,"0.00","0.0","5.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-27",,,"0.10","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-28",,,"0.13","1.0","1.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-29",,,"0.17","1.8","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-30",,,"0.37","1.7","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2022-12-31",,,"0.71","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-01",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-02",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-03",,,"0.22","2.3","2.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-04",,,"0.02","0.2","2.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-05",,,"0.32","1.0","1.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-06",,,"0.23","2.4","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-07",,,"0.00","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-08",,,"0.22","0.2","2.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-09",,,"0.02","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-10",,,"0.16","0.2","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-11",,,"0.02","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-12",,,"0.05","0.8","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-13",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-14",,,"0.10","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-15",,,"0.07","0.5","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-16",,,"0.06","0.4","1.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-17",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-18",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-19",,,"0.40","5.4","5.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-20",,,"0.00","0.0","5.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-21",,,"0.00","0.0","4.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-22",,,"0.02","0.2","4.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-23",,,"0.00","0.0","4.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-24",,,"0.00","0.0","4.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-25",,,"0.00","0.0","4.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-26",,,"0.00","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-27",,,"0.00","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-28",,,"0.00","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-29",,,"0.03","0.2","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-30",,,"0.00","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-01-31",,,"0.00","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-01",,,"0.00","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-02",,,"0.00","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-03",,,"0.00","0.0","3.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-04",,,"0.00","0.0","2.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-05",,,"0.09","0.3","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-06",,,"0.24","2.4","2.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-07",,,"0.00","0.0","2.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-08",,,"0.00","0.0","2.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-09",,,"0.00","0.0","2.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-10",,,"0.00","0.0","0.0",,,,,,,,,,,,
"USC00040162","41.51472","-120.36406","1617.6","2023-02-11",,,"0.07","0.8","1.0",,,,,,,,,,,,
